ServiceID,ServiceName,CurrentSellPrice,PricingModel,UnitOfSale,ScopeDefinition,IncludedRevisionsLimits,TriggerToStartWork,CompletionDefinition,OwnerRole,Status,Notes,Genre
000101,Development,1075,Hourly,Per hour,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Development
00111,Local SEO Pack,2500,Fixed Price,Per pack,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,SEO
002,"Full Website Build Page - Development, No SEO",5500,Fixed Price,Per page,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Development
003,Full Website Build Page - Full on page SEO,6600,Fixed Price,Per page,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Development
004,Full Website Build Page - Development & SEO,3300,Fixed Price,Per page,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Development
005,Landing Page Build Page - No SEO,5500,Fixed Price,Per page,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Development
006,Landing Page Build Page - Full SEO,6600,Fixed Price,Per page,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Development
007,Emailer - Creative only,3300,Fixed Price,Per emailer,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Creative Production
008,Emailer - Creative and development,4400,Fixed Price,Per emailer,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Creative Production
009,Google Analytics Account Creation,1075,Fixed Price,Per account,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Paid Media
011,Web story development & set live,9350,Fixed Price,Per web story,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Development
012,Website Maintenance (Adhoc),1075,Hourly,Per hour,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Development
013,Ad Account Creation,1980,Fixed Price,Per account,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Paid Media
014,Google Search Campaign Creation,5940,Fixed Price,Per campaign,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Paid Media
015,Google GDN Campaign Creation,5940,Fixed Price,Per campaign,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Paid Media
017,LinkedIn Campaign Creation,5400,Fixed Price,Per campaign,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Paid Media
018,Facebook Campaign Creation,5940,Fixed Price,Per campaign,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Paid Media
019,Twitter Campaign Creation,5940,Fixed Price,Per campaign,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Paid Media
022,GDN Banners - Creative and Content,9350,Fixed Price,Per banner set,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Creative Production
023,Audience Targeting Research,1075,Hourly,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Paid Media
026,SEO Competitor Audit,27500,Fixed Price,Per audit,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,SEO
027,SEO On Page,1075,Hourly,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,SEO
030,SEO Toxic Links Analysis,6930,Fixed Price,Per audit,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,SEO
